id:	0
genes:	1773 373 1801 1083 846 1241 1563 1800 1296 1122 13 47 33 410 985 682 650 1326 295 758 309 1958 1740 610 1086 658 1110 980 1392 480 988 960 443 255 482 1088 1975 1264 1037 496 551 1645 1750 131 1837 1018 1145 208 1846 1305 1087 764 1848 461 1153 1048 1170 332 1822 615 516 833 905 1339 143 728 1417 1496 1807 311 840 1647 789 58 487 2 381 1755 1102 1360 1073 1299 800 1456 73 654 1783 1114 233 1539 685 648 924 1460 163 1463 723 1853 349 1192
samples:	117 102 5 85 182 164 114 136 13 8 48 106 172 195 22 144 115 66 100 110
id:	1
genes:	644 1523 118 823 1306 998 1118 14 1492 603 786 332 1240 1876 1754 1251 17 1206 1693 1093 1738 1644 1662 888 392 382 61 1050 25 241 1558 711 367 814 1740 276 1323 1268 646 1998 1343 1276 592 223 311 1266 1438 1664 754 906 1047 1324 461 183 962 1924 1150 437 751 1725 869 748 1895 1663 1122 1089 1900 1960 269 1443 915 1686 1333 376 707 1649 605 1695 97 331 1892 1817 1077 676 1525 942 1968 407 238 1112 5 1704 1897 1305 359 682 1314 1475 1352 1938
samples:	68 90 49 188 171 59 145 108 23 153 94 12 5 116 42 30 156 4 169 196
id:	2
genes:	1787 987 629 4 882 1333 943 929 64 1318 1189 799 1268 1639 172 1662 190 1993 98 725 1744 165 1668 1500 1103 1301 945 1848 257 1626 958 1393 673 1921 1775 1509 863 196 524 811 1032 264 1540 680 551 1835 688 1327 1803 717 156 879 883 747 1661 787 1483 1329 1768 603 768 558 517 185 1383 729 1573 738 956 493 586 331 288 124 1684 633 819 1533 1699 779 1576 983 1570 502 1217 1992 1751 1886 1120 774 1855 373 838 1572 126 1880 1007 1025 294 470
samples:	84 128 13 63 24 26 199 119 178 142 85 148 39 7 165 152 160 5 134 143
id:	3
