id:	0
genes:	526 1584 1915 1701 1487 113 1958 995 556 210
samples:	101 160 24 91 171 46 28 27 181 165
id:	1
genes:	540 577 424 539 296 1393 380 529 1829 320
samples:	125 146 60 22 190 63 40 169 55 142
id:	2
genes:	248 500 477 253 1832 817 1249 1687 1537 275
samples:	114 131 162 156 178 197 128 164 50 147
id:	3
genes:	1852 498 1486 307 956 1862 1875 1991 1606 362
samples:	154 183 119 177 17 81 123 20 61 135
id:	4
genes:	1955 35 1485 434 959 522 1605 1622 10 662
samples:	181 41 147 146 10 55 60 47 75 36
id:	5
genes:	843 1355 976 1318 87 733 1912 1736 717 868
samples:	173 34 128 131 190 54 113 41 168 16
id:	6
genes:	270 1872 788 711 1628 1167 883 1373 317 1895
samples:	30 83 130 93 157 12 22 91 192 176
id:	7
genes:	1992 1748 160 1058 810 1751 785 1320 52 113
samples:	115 81 176 4 119 32 112 127 99 21
id:	8
genes:	525 71 470 898 1984 1022 631 310 728 1852
samples:	29 68 53 183 145 5 190 51 23 108
id:	9
genes:	938 1425 1108 413 285 233 1914 1712 1558 1739
samples:	76 59 73 170 111 157 121 40 44 67
